Word;Part of speech;Translation;Frequency;Forms;Raw frequency;Number;Term;Term number;Term type;Auxiliary verb;Main word;Endings;Comment & logic
Text;Text;Text;Figure;Text;Figure;Text;Text;Figure;Text;Text;Text;Text;Text
;;;;;;;;;;;;;
aconsejar;Verb;to advise, to counsel;1828;hemos aconsejado;;Plural;perfecto de indicativo;8;The Seven Compound Tenses;hemos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_is aconsejado;;Plural;perfecto de indicativo;8;The Seven Compound Tenses;hab_is;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;han aconsejado;;Plural;perfecto de indicativo;8;The Seven Compound Tenses;han;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_a aconsejado;;Singular;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_a;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_as aconsejado;;Singular;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_as;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_a aconsejado;;Singular;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_a;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_amos aconsejado;;Plural;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_amos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_ais aconsejado;;Plural;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_ais;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hab_an aconsejado;;Plural;pluscuamperfecto de indicativo;9;The Seven Compound Tenses;hab_an;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hube aconsejado;;Singular;pret_rito anterior;10;The Seven Compound Tenses;hube;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiste aconsejado;;Singular;pret_rito anterior;10;The Seven Compound Tenses;hubiste;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubo aconsejado;;Singular;pret_rito anterior;10;The Seven Compound Tenses;hubo;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubimos aconsejado;;Plural;pret_rito anterior;10;The Seven Compound Tenses;hubimos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubisteis aconsejado;;Plural;pret_rito anterior;10;The Seven Compound Tenses;hubisteis;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubieron aconsejado;;Plural;pret_rito anterior;10;The Seven Compound Tenses;hubieron;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_ aconsejado;;Singular;futuro perfecto;11;The Seven Compound Tenses;habr_;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_s aconsejado;;Singular;futuro perfecto;11;The Seven Compound Tenses;habr_s;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_ aconsejado;;Singular;futuro perfecto;11;The Seven Compound Tenses;habr_;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habremos aconsejado;;Plural;futuro perfecto;11;The Seven Compound Tenses;habremos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_is aconsejado;;Plural;futuro perfecto;11;The Seven Compound Tenses;habr_is;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_n aconsejado;;Plural;futuro perfecto;11;The Seven Compound Tenses;habr_n;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_a aconsejado;;Singular;potencial compuesto;12;The Seven Compound Tenses;habr_a;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_as aconsejado;;Singular;potencial compuesto;12;The Seven Compound Tenses;habr_as;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_a aconsejado;;Singular;potencial compuesto;12;The Seven Compound Tenses;habr_a;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_amos aconsejado;;Plural;potencial compuesto;12;The Seven Compound Tenses;habr_amos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_ais aconsejado;;Plural;potencial compuesto;12;The Seven Compound Tenses;habr_ais;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;habr_an aconsejado;;Plural;potencial compuesto;12;The Seven Compound Tenses;habr_an;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;haya aconsejado;;Singular;perfecto de subjuntivo;13;The Seven Compound Tenses;haya;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hayas aconsejado;;Singular;perfecto de subjuntivo;13;The Seven Compound Tenses;hayas;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;haya aconsejado;;Singular;perfecto de subjuntivo;13;The Seven Compound Tenses;haya;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hayamos aconsejado;;Plural;perfecto de subjuntivo;13;The Seven Compound Tenses;hayamos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hay_is aconsejado;;Plural;perfecto de subjuntivo;13;The Seven Compound Tenses;hay_is;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hayan aconsejado;;Plural;perfecto de subjuntivo;13;The Seven Compound Tenses;hayan;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiera aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubiera;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubieras aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubieras;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiera aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubiera;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubi_ramos aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubi_ramos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubierais aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubierais;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubieran aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubieran;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;OR;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiese aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubiese;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubieses aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubieses;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiese aconsejado;;Singular;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubiese;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubi_semos aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubi_semos;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubieseis aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubieseis;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;hubiesen aconsejado;;Plural;pluscuamperfecto de subjuntivo;14;The Seven Compound Tenses;hubiesen;aconsejado;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;;
aconsejar;Verb;to advise, to counsel;1828;aconsejando;;;Gerundio ;;;;aconsejando;;
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;;
aconsejar;Verb;to advise, to counsel;1828;—;;;imperativo;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;imperativo;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconseje;;;imperativo;;;;aconseje;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;imperativo;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;"aconseja; ";;;imperativo;;;;"aconseja; ";"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;no aconsejes;negative;;imperativo;;;;no aconsejes;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;imperativo;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
